DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Comment,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Bad Sats,Residual,Time Error,Lat,Lon,Geoid,SatsUsed,Clk Error,CEP,R95,N/A,LocSolve.Residual
179063,179063,UT,5/29/2019 16:01,Argos,1,27.3293,-82.6117,1139,1556,832,97,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,,,FastGPS,,,,,,,,,29-May-19,16:01:37,,,,,,,,,,,,,,27.335919,-82.57718,-26,4,-0.2,0,0,0,0.667667
179064,179064,UT,5/29/2019 11:52,FastGPS,5,27.3355,-82.5765,,,,,,29-May-19,11:52:53,1,,,,0,5,27.3355,-82.5765,52:51.3,FastGPS,0,1.2,-1.7,27.335469,-82.57657,-26,5,-0.678125,17.422712,36.220076,0,4.026045
179064,179064,UT,5/29/2019 11:57,FastGPS,6,27.3356,-82.5765,,,,,,29-May-19,11:57:51,3,,,,0,6,27.3356,-82.5765,57:49.7,FastGPS,0,7.3,-1.3,27.335344,-82.57627,-26,6,-0.224375,15.356881,31.92542,0,19.520068
179064,179064,UT,5/29/2019 12:13,FastGPS,4,27.3355,-82.5764,,,,,,29-May-19,12:13:09,1,,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.4,-1.9,27.335627,-82.576684,-26,4,-0.92,0,0,0,0.634964
179064,179064,UT,5/29/2019 12:18,FastGPS,4,27.3354,-82.5765,,,,,,29-May-19,12:18:07,1,,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.4,-1.9,27.335469,-82.576573,-26,4,-0.895,0,0,0,3.237477
179064,179064,UT,5/29/2019 12:23,FastGPS,4,27.3355,-82.5763,,,,,,29-May-19,12:23:35,3,,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.4,-1.6,27.335721,-82.576452,-26,4,-0.57,0,0,0,0.694236
179064,179064,UT,5/29/2019 12:23,Argos,3,27.3364,-82.5731,201,563,72,104,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 12:28,FastGPS,6,27.3355,-82.5764,,,,,,29-May-19,12:28:33,1,,,,0,6,27.3355,-82.5764,28:32.5,FastGPS,0,2.8,-0.4,27.335586,-82.576341,-26,6,-0.44375,9.995121,20.778858,0,1.965081
179064,179064,UT,5/29/2019 12:36,Argos,1,27.3396,-82.58,660,1416,307,27,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 12:38,FastGPS,4,27.3356,-82.5766,,,,,,29-May-19,12:38:30,2,,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.3,-0.4,27.335649,-82.576654,-26,4,-0.35,0,0,0,0.796038
179064,179064,UT,5/29/2019 12:43,FastGPS,4,27.3357,-82.5768,,,,,,29-May-19,12:43:57,1,,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.2,-0.6,27.335703,-82.576755,-26,4,-0.55,0,0,0,0.516268
179064,179064,UT,5/29/2019 12:55,Argos,1,27.3437,-82.584,981,2281,422,7,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 12:59,FastGPS,4,27.3288,-82.5817,,,,,Lat > 4 deviations from mean,29-May-19,12:59:22,1,,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,1,-1.6,27.338353,-82.574863,-26,4,-0.475,0,0,0,15.558186
179064,179064,UT,5/29/2019 13:04,Argos,2,27.3419,-82.5708,338,595,192,146,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 13:10,FastGPS,6,27.3354,-82.5764,,,,,,29-May-19,13:10:11,3,,,,0,6,27.3354,-82.5764,10:10.5,FastGPS,0,15.1,-0.5,27.33546,-82.576462,-26,6,-0.46875,14.792688,30.752519,0,19.49684
179064,179064,UT,5/29/2019 13:15,FastGPS,5,27.3357,-82.5767,,,,,,29-May-19,13:15:09,1,,,,0,5,27.3357,-82.5767,15:08.7,FastGPS,0,6.8,-0.3,27.33573,-82.576523,-26,5,-0.2975,17.798997,37.002335,0,5.091817
179064,179064,UT,5/29/2019 13:20,FastGPS,4,27.3356,-82.5768,,,,,,29-May-19,13:20:07,2,,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.3,-0.7,27.33555,-82.576822,-26,4,-0.73,0,0,0,0.783071
179064,179064,UT,5/29/2019 13:25,FastGPS,5,27.3354,-82.5767,,,,,,29-May-19,13:25:05,2,,,,0,5,27.3354,-82.5767,25:04.3,FastGPS,0,3.8,-0.7,27.334903,-82.576786,-26,5,-0.67,23.2467,48.327565,0,2.425664
179064,179064,UT,5/29/2019 13:35,FastGPS,7,27.3357,-82.5767,,,,,,29-May-19,13:35:32,2,,,,0,7,27.3357,-82.5767,35:30.9,FastGPS,0,12.3,-1,27.335641,-82.576803,-26,7,-1.059688,15.489774,32.201692,0,15.874317
179064,179064,UT,5/29/2019 13:36,Argos,3,27.3385,-82.5752,190,425,84,138,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 13:40,FastGPS,7,27.3356,-82.5764,,,,,,29-May-19,13:40:30,1,,,,0,7,27.3356,-82.5764,40:28.7,FastGPS,0,18.5,-1.3,27.335398,-82.57685,-26,7,-1.312188,14.905679,30.987416,0,16.234943
179064,179064,UT,5/29/2019 13:45,FastGPS,5,27.3358,-82.5763,,,,,,29-May-19,13:45:27,1,,,,0,6,27.3358,-82.5763,45:26.6,FastGPS,1,21.6,-0.4,27.336091,-82.57598,-26,5,-0.298438,26.249926,54.570972,0,15.596873
179064,179064,UT,5/29/2019 13:50,FastGPS,5,27.3356,-82.5767,,,,,,29-May-19,13:50:26,2,,,,0,6,27.3356,-82.5767,50:24.6,FastGPS,1,12.6,-1.3,27.33546,-82.576739,-26,5,-1.348125,23.475662,48.803554,0,16.007614
179064,179064,UT,5/29/2019 13:55,FastGPS,4,27.3357,-82.5769,,,,,,29-May-19,13:55:24,2,,,,0,5,27.3365,-82.5777,5/29/2019 14:19,MC,1,0.7,-1.4,27.337029,-82.578002,-26,4,-1.292344,0,0,0,0.646203
179064,179064,UT,5/29/2019 14:00,FastGPS,5,27.3356,-82.5767,,,,,,29-May-19,14:00:23,2,,,,0,6,27.3356,-82.5767,00:21.9,FastGPS,1,2.5,-1.1,27.335514,-82.576739,-26,5,-1.05875,16.456269,34.210938,0,2.354527
179064,179064,UT,5/29/2019 14:05,FastGPS,5,27.3354,-82.5765,,,,,,29-May-19,14:05:20,2,,,,0,6,27.3354,-82.5765,05:19.4,FastGPS,1,7.1,-0.6,27.335362,-82.576527,-26,5,-0.565,21.907868,45.544268,0,9.18991
179064,179064,UT,5/29/2019 14:07,Argos,3,27.3326,-82.5823,179,262,122,26,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 14:10,FastGPS,4,27.3355,-82.5765,,,,,,29-May-19,14:10:19,2,,,,0,5,27.3365,-82.5777,5/29/2019 14:19,MC,1,1,-1,27.335451,-82.576446,-26,4,-0.9475,0,0,0,1.114686
179064,179064,UT,5/29/2019 14:19,Argos,3,27.3365,-82.5777,141,209,95,138,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 14:19,Argos,3,27.3365,-82.5777,141,209,95,138,,,,,,,,,,,,,,,,,,,,,,,,,
179064,179064,UT,5/29/2019 14:20,FastGPS,4,27.3353,-82.5761,,,,,,29-May-19,14:20:15,1,-1,,,0,4,27.3365,-82.5777,5/29/2019 14:19,MC,0,0.2,0.5,27.335128,-82.575884,-26,4,0.585,0,0,0,2.264638
