Name,ID,Day,Time,Time Offset,TimeOffset.mmss,GMT,Tag.Time,Snap,Follow.Time,Tdiff,Distance.RF,Distance.V,Bearing.Goni,Bearing.HH,TagClear,TCL,TCC,TCR,Behav,WPT,Comments,Count,Satellites,Bad Sats,Good.Sats,Residual,Time Error,Latitude,Longitude,Failures,Hauled Out,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
179062,F283,6-Jun-19,6:10:42,-19,0:00:19,4:00:00,2:10:23,0,,,,,,,,,,,,,,1,4,,4,0.1,-0.9,27.4827,-82.6566,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4827,-82.6566,,,,,15,21,25577,,,,12,29540,,,,32,18625,,,,10,29307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,6:26:25,-19,0:00:19,4:00:00,2:26:06,0,,,,,,,,,,,,,,1,1,,1,,,,,,0,,,,,,,,,,,15,20,23790,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,6:41:35,-19,0:00:19,4:00:00,2:41:16,0,,,,,,,,,,,,,,1,1,,1,,,,,,0,,,,,,,,,,,15,12,30076,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,6:57:49,-19,0:00:19,4:00:00,2:57:30,0,,,,,,,,,,,,,,1,5,1,4,1.4,-55,33.4822,-84.1269,,0,27.478,-82.6783,6/6/2019 10:22,SR,33.4822,-84.1269,,,,,15,31,16415,,,42,10,24569,,,,20,8306,,,,25,17100,,,,32,13520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,10:39:49,-20,0:00:20,4:00:00,6:39:29,0,9:10:45,2:31:16,,,,,,,,,,,,3,4,,4,0.8,-0.3,27.4815,-82.6752,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4815,-82.6752,,,,,15,16,14539,,,,26,13156,,,,22,24562,,,,3,20960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,14:52:07,-21,0:00:21,4:00:00,10:51:46,1,10:52:43,0:00:57,,60,53,260,Y,Y,Y,Y,,,,2,7,1,6,13.2,-1.4,27.4818,-82.696,,0,27.4818,-82.696,51:44.6,FastGPS,27.4818,-82.696,,,,,15,7,30254,,,,8,4309,,,,9,14202,,,,23,32197,,,,4,25756,,,,27,7200,,,,11,12662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,15:52:48,-21,0:00:21,4:00:00,11:52:27,0,12:08:20,0:15:53,,,,,,,,,,,,2,6,1,5,4.9,-1.2,27.4783,-82.6851,,0,27.4783,-82.6851,52:25.8,FastGPS,27.4783,-82.6851,,,,,15,17,29756,,,40,9,15829,,,,4,30380,,,,11,23861,,,,8,19844,,,,28,31298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,16:57:39,-22,0:00:22,4:00:00,12:57:17,1,12:58:13,0:00:56,,50,,30,Y,Y,Y,Y,,,,2,4,,4,0.7,-0.8,27.4767,-82.6737,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4767,-82.6737,,,,,15,7,15023,,,,11,27185,,,,1,1010,,,,18,5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,17:59:17,-22,0:00:22,4:00:00,13:58:55,0,13:00:25,0:58:30,,,,,,,,,,,,1,7,,7,6.8,-0.7,27.4801,-82.6747,,0,27.4801,-82.6747,58:54.3,FastGPS,27.4801,-82.6747,,,,,15,7,16427,,,42,19,21515,,,,3,14725,,,,1,3432,,,,17,25150,,,,28,17168,,,,22,14960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,19:00:58,-22,0:00:22,4:00:00,15:00:36,0,,,,,,,,,,,,,,1,4,,4,0.4,1.3,27.4838,-82.6661,,0,27.4801,-82.6747,58:54.3,FastGPS,27.4838,-82.6661,,,,,15,17,13598,,,,22,4300,,,,6,28948,,,,19,26664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
